Date,Home,Opponent,GS,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,XI,ROE,GDP,SB,CS,AVG,OBP,SLG,BP,Pos,Draftkings Score
 7-17-2015,1,3,1.0,32,32,1,0,0,581,201,96,17,64,147,0.265,4.46,0,10,4,1,831,0,98,3,2,13,14
 7-18-2015,1,3,0.6,28,28,0,0,0,516,196,94,25,38,149,0.287,4.92,0,12,10,1,737,0,103,2,5,21,0
 7-20-2015,1,3,1.6666666666666667,21,21,0,0,0,365,120,52,13,37,98,0.255,3.85,1,4,4,1,522,0,55,5,4,8,5
 7-20-2015,1,3,1.25,16,9,0,0,0,218,67,33,12,27,52,0.239,4.09,0,2,1,0,310,3,38,1,1,2,18
 7-22-2015,1,3,0.5454545454545454,30,30,0,0,0,494,198,78,11,45,86,0.304,4.26,1,5,12,0,714,0,86,3,3,29,0
 7-23-2015,1,3,3
 7-24-2015,1,3,1.8888888888888888,33,33,2,1,0,614,211,106,26,42,142,0.266,4.66,2,5,11,0,861,0,114,2,11,14,21
 7-25-2015,1,3,1.1818181818181819,33,33,0,0,0,553,193,70,15,68,121,0.268,3.42,0,10,1,0,793,0,76,1,3,18,13
 7-26-2015,1,3,1.0,24,21,0,0,0,375,135,55,16,46,77,0.274,3.96,2,4,13,0,558,1,66,1,5,15,44
 7-30-2015,0,3,0.3333333333333333,13,13,0,0,0,220,78,34,13,24,54,0.27,4.17,0,3,6,0,323,0,42,2,2,4,2
 7-31-2015,0,3,6.333333333333333,32,32,1,0,0,668,148,41,14,40,200,0.187,1.66,1,7,5,0,843,0,43,6,2,15,29
 8- 1-2015,0,3,2.2857142857142856,33,33,4,3,0,698,163,55,15,42,301,0.194,2.13,1,9,5,3,890,0,62,4,0,8,0
 8- 2-2015,0,3,0.0,6,5,0,0,0,73,31,18,3,6,18,0.323,6.66,1,1,0,1,106,1,19,2,2,2,0
 8- 3-2015,1,3,0.5625,32,32,4,0,0,666,189,86,22,45,245,0.231,3.49,3,6,11,1,886,0,92,7,4,18,7
 8- 4-2015,1,3,1.1666666666666667,30,30,3,1,0,551,154,74,18,43,216,0.228,3.63,2,5,5,0,730,0,75,1,6,17,2
 8- 5-2015,1,3,1.4,30,30,0,0,0,555,156,71,23,53,195,0.226,3.45,1,3,7,2,757,0,79,3,4,11,0
 8- 7-2015,1,3,0.5714285714285714,25,17,0,0,0,337,109,53,17,29,103,0.251,4.25,1,7,2,0,470,1,56,2,3,2,23
 8- 8-2015,1,3,1.2,32,32,0,0,0,552,182,84,20,68,168,0.257,4.11,1,6,11,0,791,0,89,1,4,16,3
 8- 9-2015,1,3,0.75,26,26,0,0,0,434,151,79,24,51,109,0.27,4.91,2,4,8,0,622,0,81,2,2,15,2
 8-10-2015,0,3,1.1818181818181819,31,31,1,0,0,626,185,79,23,42,274,0.233,3.41,0,7,13,0,854,0,88,2,3,13,10
 8-11-2015,0,3,1.5,26,23,1,0,0,418,130,58,11,71,139,0.251,3.75,0,7,8,0,607,1,63,6,5,18,0
 8-12-2015,0,3,0.4666666666666667,30,30,2,1,0,533,195,93,24,56,124,0.281,4.71,1,8,3,1,768,0,104,8,6,15,5
 8-13-2015,0,3,1.0,30,24,0,0,0,445,186,98,29,44,84,0.31,5.95,1,4,9,0,664,4,101,5,6,7,13
 8-14-2015,0,3,0.875,30,24,0,0,1,410,137,62,15,53,102,0.264,4.08,0,11,9,0,588,1,64,3,5,17,12
 8-15-2015,0,3,0.5714285714285714,13,13,1,1,0,244,101,43,10,17,56,0.307,4.76,0,0,2,0,350,0,45,1,1,8,0
 8-16-2015,0,3,1.625,28,28,0,0,0,490,154,74,14,58,156,0.248,4.08,1,10,9,0,693,0,75,1,4,11,0
 8-17-2015,1,3,1.5,26,23,1,0,0,418,130,58,11,71,139,0.251,3.75,0,7,8,0,607,1,63,6,5,18,2
 8-18-2015,1,3,0.4666666666666667,30,30,2,1,0,533,195,93,24,56,124,0.281,4.71,1,8,3,1,768,0,104,8,6,15,2
 8-19-2015,1,3,0.8461538461538461,32,32,2,2,0,642,228,118,29,49,163,0.273,4.96,0,5,12,0,910,0,122,4,9,17,5
 8-20-2015,1,3,0.9,32,32,1,1,0,619,218,77,16,44,177,0.272,3.36,4,5,8,0,862,0,81,4,4,18,12
 8-21-2015,1,3,9.0,11,11,0,0,0,223,57,19,4,18,87,0.207,2.3,0,1,0,0,296,0,20,0,3,4,2
 8-22-2015,1,2,1.625,34,28,0,0,0,543,134,63,24,55,131,0.203,3.13,2,2,5,0,725,3,67,2,3,6,0
 8-23-2015,1,2,1.0,33,33,2,0,0,643,195,93,25,61,126,0.244,3.91,1,9,11,2,884,0,97,3,11,18,18
 8-25-2015,0,2,1.0833333333333333,31,31,2,1,0,561,201,105,24,68,117,0.276,5.05,1,14,8,0,820,0,112,9,6,13,7
 8-26-2015,0,2,0.625,20,20,1,1,0,400,113,50,13,32,113,0.229,3.38,1,2,3,0,535,0,56,1,6,7,0
 8-27-2015,0,2,0.0,8,7,0,0,0,104,46,24,5,15,28,0.319,6.23,1,3,1,0,161,0,28,0,1,4,5
 8-28-2015,0,2,0.9166666666666666,31,30,1,0,0,528,152,89,23,79,170,0.232,4.55,1,7,5,1,744,1,90,4,1,14,4
 8-29-2015,0,2,0.5625,32,32,4,0,0,666,189,86,22,45,245,0.231,3.49,3,6,11,1,886,0,92,7,4,18,2
